game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
85439,10,10,18,22,13,18,3,3,44,53,2
85440,23,23,11,6,15,13,6,0,55,42,1
85441,16,15,17,18,12,12,0,6,45,51,2
85442,11,19,5,5,12,21,3,3,31,48,2
85443,16,15,22,19,13,16,0,6,51,56,2
85444,18,14,9,12,10,12,0,6,37,44,2
85445,15,22,15,25,18,19,6,0,54,66,2
85446,10,20,11,21,19,11,0,6,40,58,2
85447,13,13,15,12,9,14,3,3,40,42,2
85448,14,26,9,18,12,11,6,0,41,55,2
85449,15,9,18,13,10,18,6,0,49,40,1
85450,16,26,10,10,12,18,0,6,38,60,2
85451,7,19,14,22,17,13,6,0,44,54,2
85452,16,14,11,14,9,21,0,6,36,55,2
85453,8,17,15,21,12,18,0,6,35,62,2
85454,12,10,17,22,16,18,6,0,51,50,1
85455,13,12,8,19,15,14,0,6,36,51,2
85456,16,15,15,20,18,10,0,6,49,51,2
85457,12,10,10,11,16,17,3,3,41,41,0
85458,16,13,10,19,14,12,0,6,40,50,2
85459,17,13,6,12,30,14,0,6,53,45,1
85460,10,15,24,18,12,12,6,0,52,45,1
85461,23,15,18,13,11,24,3,3,55,55,0
85462,10,22,21,20,14,17,0,6,45,65,2
85463,17,18,15,20,19,18,3,3,54,59,2
85464,18,15,11,20,21,8,3,3,53,46,1
85465,10,21,20,16,22,19,0,6,52,62,2
85466,16,14,13,7,13,28,6,0,48,49,2
85467,15,13,18,15,21,23,6,0,60,51,1
85468,13,20,13,10,14,14,0,6,40,50,2
85469,17,18,17,24,18,19,6,0,58,61,2
85470,14,19,14,16,17,16,3,3,48,54,2
85471,12,12,24,15,27,14,0,6,63,47,1
85472,9,16,8,10,8,10,6,0,31,36,2
85473,11,12,11,14,23,15,0,6,45,47,2
85474,9,17,15,16,12,13,6,0,42,46,2
85475,17,12,16,12,15,17,0,6,48,47,1
85476,15,20,13,18,17,22,0,6,45,66,2
85477,10,14,18,27,19,11,6,0,53,52,1
85478,16,28,16,12,12,17,6,0,50,57,2
85479,18,14,14,21,10,14,0,6,42,55,2
85480,17,22,18,17,11,19,3,3,49,61,2
85481,18,12,13,20,20,14,3,3,54,49,1
85482,11,25,15,12,17,12,6,0,49,49,0
85483,21,18,14,17,14,9,3,3,52,47,1
85484,13,17,13,13,14,9,3,3,43,42,1
85485,17,9,14,19,17,17,0,6,48,51,2
85486,13,19,24,15,11,18,3,3,51,55,2
85487,15,14,21,18,15,20,6,0,57,52,1
85488,15,16,15,13,22,22,3,3,55,54,1
85489,12,12,14,17,7,20,3,3,36,52,2
85490,24,10,19,24,10,11,0,6,53,51,1
85491,12,21,9,23,15,13,0,6,36,63,2
85492,14,23,11,14,20,18,0,6,45,61,2
85493,15,15,12,17,9,16,6,0,42,48,2
85494,23,24,21,6,12,17,0,6,56,53,1
85495,6,21,15,12,7,19,6,0,34,52,2
85496,10,27,23,17,17,9,0,6,50,59,2
85497,20,20,22,18,15,17,3,3,60,58,1
85498,18,17,13,17,9,19,0,6,40,59,2
85499,19,7,20,20,10,19,6,0,55,46,1
85500,12,24,9,17,15,12,0,6,36,59,2
85501,12,14,11,18,26,9,3,3,52,44,1
85502,13,9,17,16,14,11,3,3,47,39,1
85503,26,10,12,17,14,22,6,0,58,49,1
85504,13,19,18,11,11,11,3,3,45,44,1
85505,12,18,19,9,10,8,3,3,44,38,1
85506,13,16,17,20,21,18,3,3,54,57,2
85507,15,20,17,14,18,16,3,3,53,53,0
85508,19,23,9,10,20,24,3,3,51,60,2
85509,16,22,21,12,20,13,3,3,60,50,1
85510,10,18,9,12,15,15,3,3,37,48,2
85511,10,13,17,18,18,21,3,3,48,55,2
85512,17,23,12,15,28,13,3,3,60,54,1
85513,13,33,17,14,14,23,0,6,44,76,2
85514,14,15,13,16,21,15,0,6,48,52,2
85515,19,21,11,16,20,7,3,3,53,47,1
85516,14,12,15,14,10,11,0,6,39,43,2
85517,18,17,14,13,10,15,3,3,45,48,2
85518,18,16,25,14,11,18,3,3,57,51,1
85519,12,17,20,15,14,11,3,3,49,46,1
85520,15,17,13,11,11,21,6,0,45,49,2
85521,15,21,22,14,13,13,0,6,50,54,2
85522,13,21,15,9,12,30,6,0,46,60,2
85523,11,17,17,15,12,13,3,3,43,48,2
85524,14,7,17,17,12,14,0,6,43,44,2
85525,24,13,15,18,22,18,6,0,67,49,1
