game_no,r1p1,r1p2,r2p1,r2p2,r3p1,r3p2,p1_pudding,p2_pudding,p1_total,p2_total,winner
19171,20,15,19,18,18,10,6,0,63,43,1
19172,15,21,18,18,22,14,0,6,55,59,2
19173,14,23,24,13,14,20,0,6,52,62,2
19174,13,15,18,14,15,15,0,6,46,50,2
19175,23,15,18,20,15,12,0,6,56,53,1
19176,23,13,17,25,28,14,3,3,71,55,1
19177,19,16,12,15,21,17,0,6,52,54,2
19178,14,21,25,14,18,13,3,3,60,51,1
19179,12,16,19,11,13,15,0,6,44,48,2
19180,15,17,19,19,19,10,0,6,53,52,1
19181,9,23,22,9,24,14,0,6,55,52,1
19182,21,18,23,18,23,11,3,3,70,50,1
19183,24,10,21,16,17,21,3,3,65,50,1
19184,11,12,25,14,11,20,0,6,47,52,2
19185,19,21,11,17,9,10,6,0,45,48,2
19186,18,23,15,19,15,12,6,0,54,54,0
19187,14,14,6,28,23,14,0,6,43,62,2
19188,18,9,26,17,24,19,0,6,68,51,1
19189,28,14,12,12,21,10,0,6,61,42,1
19190,7,9,15,18,14,15,0,6,36,48,2
19191,14,13,18,20,18,15,3,3,53,51,1
19192,14,17,18,11,22,15,0,6,54,49,1
19193,12,17,7,18,13,18,6,0,38,53,2
19194,28,18,20,13,6,13,6,0,60,44,1
19195,13,12,19,15,9,7,6,0,47,34,1
19196,18,15,18,13,15,13,3,3,54,44,1
19197,18,22,25,9,15,10,6,0,64,41,1
19198,10,16,14,15,16,10,0,6,40,47,2
19199,17,17,15,10,19,8,0,6,51,41,1
19200,17,17,22,10,24,14,6,0,69,41,1
19201,19,9,21,15,18,19,0,6,58,49,1
19202,14,15,15,11,17,10,0,6,46,42,1
19203,10,9,14,18,15,22,6,0,45,49,2
19204,20,22,24,7,16,13,3,3,63,45,1
19205,18,20,14,13,24,16,3,3,59,52,1
19206,14,20,14,21,29,22,3,3,60,66,2
19207,11,12,11,21,17,18,0,6,39,57,2
19208,14,20,11,25,22,9,0,6,47,60,2
19209,15,10,14,24,8,17,6,0,43,51,2
19210,22,18,26,12,13,9,3,3,64,42,1
19211,16,16,20,10,17,9,3,3,56,38,1
19212,13,19,17,12,18,13,3,3,51,47,1
19213,12,22,23,18,18,22,0,6,53,68,2
19214,22,12,14,19,13,8,3,3,52,42,1
19215,15,13,13,13,20,12,0,6,48,44,1
19216,15,19,18,22,12,21,6,0,51,62,2
19217,15,12,20,15,22,16,6,0,63,43,1
19218,15,18,15,16,21,26,6,0,57,60,2
19219,14,14,15,17,25,21,3,3,57,55,1
19220,16,14,16,11,15,14,0,6,47,45,1
19221,15,15,19,6,18,12,3,3,55,36,1
19222,13,21,14,14,15,15,3,3,45,53,2
19223,7,12,8,26,25,15,3,3,43,56,2
19224,12,17,34,14,14,16,3,3,63,50,1
19225,23,13,12,19,12,24,0,6,47,62,2
19226,21,21,13,11,19,12,0,6,53,50,1
19227,15,18,12,14,12,15,3,3,42,50,2
19228,23,17,15,10,9,12,3,3,50,42,1
19229,26,19,18,9,9,21,0,6,53,55,2
19230,16,12,16,17,11,14,0,6,43,49,2
19231,12,13,22,20,16,19,6,0,56,52,1
19232,26,10,13,16,15,19,3,3,57,48,1
19233,11,11,25,12,16,19,0,6,52,48,1
19234,29,18,14,15,13,22,6,0,62,55,1
19235,20,16,20,15,15,8,6,0,61,39,1
19236,15,18,11,13,18,27,6,0,50,58,2
19237,12,26,15,18,12,15,3,3,42,62,2
19238,7,11,16,16,18,13,0,6,41,46,2
19239,13,18,19,18,20,12,0,6,52,54,2
19240,10,9,14,24,16,7,3,3,43,43,0
19241,24,19,15,12,23,11,0,6,62,48,1
19242,9,14,14,19,16,16,6,0,45,49,2
19243,17,12,11,16,13,9,0,6,41,43,2
19244,19,17,16,10,16,12,0,6,51,45,1
19245,17,25,29,16,24,16,0,6,70,63,1
19246,10,18,17,19,12,13,6,0,45,50,2
19247,18,21,27,16,21,13,0,6,66,56,1
19248,16,26,15,16,22,14,3,3,56,59,2
19249,16,14,25,12,18,27,6,0,65,53,1
19250,17,22,11,19,12,9,0,6,40,56,2
19251,22,15,19,13,12,9,3,3,56,40,1
19252,17,15,9,12,24,16,3,3,53,46,1
19253,15,19,12,18,15,14,0,6,42,57,2
19254,17,16,8,15,18,11,3,3,46,45,1
19255,19,22,17,15,21,15,3,3,60,55,1
19256,23,17,16,23,12,21,6,0,57,61,2
19257,20,6,14,14,14,12,0,6,48,38,1
19258,22,17,17,12,11,7,6,0,56,36,1
19259,18,19,23,13,13,13,0,6,54,51,1
19260,14,12,10,17,9,16,0,6,33,51,2
19261,15,20,19,18,19,21,6,0,59,59,0
19262,21,12,11,14,14,12,0,6,46,44,1
19263,17,18,14,11,20,17,3,3,54,49,1
19264,8,14,16,26,15,10,0,6,39,56,2
19265,16,22,18,15,15,10,3,3,52,50,1
19266,20,17,23,14,19,20,0,6,62,57,1
19267,17,25,20,10,16,16,0,6,53,57,2
19268,14,18,14,19,23,18,0,6,51,61,2
19269,15,17,21,14,11,19,3,3,50,53,2
19270,23,7,10,18,15,16,0,6,48,47,1
19271,18,23,26,9,12,15,6,0,62,47,1
19272,18,12,19,15,8,10,6,0,51,37,1
19273,12,10,10,16,19,11,3,3,44,40,1
19274,9,11,23,20,15,21,6,0,53,52,1
19275,21,14,18,11,20,25,0,6,59,56,1
19276,15,16,14,17,19,14,3,3,51,50,1
19277,19,12,14,15,16,11,0,6,49,44,1
19278,13,17,15,15,24,12,0,6,52,50,1
19279,23,27,12,16,14,12,0,6,49,61,2
19280,15,21,15,24,11,17,0,6,41,68,2
19281,8,29,23,19,17,16,0,6,48,70,2
19282,19,14,25,16,20,18,3,3,67,51,1
19283,24,11,9,17,15,19,6,0,54,47,1
19284,10,21,14,7,22,20,6,0,52,48,1
19285,16,15,7,14,24,21,3,3,50,53,2
19286,17,18,8,12,31,20,3,3,59,53,1
19287,21,14,21,14,25,9,3,3,70,40,1
19288,24,21,21,15,27,17,6,0,78,53,1
19289,21,10,13,12,22,22,0,6,56,50,1
19290,19,18,14,14,23,12,6,0,62,44,1
19291,14,21,22,16,20,15,0,6,56,58,2
19292,22,15,16,19,12,20,6,0,56,54,1
19293,15,15,19,11,10,18,6,0,50,44,1
19294,17,15,23,7,12,13,3,3,55,38,1
19295,11,15,16,18,12,19,6,0,45,52,2
19296,12,26,12,16,11,17,6,0,41,59,2
19297,11,23,11,18,23,15,0,6,45,62,2
19298,23,13,23,20,20,20,6,0,72,53,1
