"","Anime_Name","Start_Month","Start_Year","End_Month","End_Year","Anime_Rating","Anime_Type","Number_Episodes"
"222","Tenkuu no Shiro Laputa","Aug",1986,"Aug",1986,8.3,"Movie ",1
"223","Tonari no Totoro","Apr",1988,"Apr",1988,8.3,"Movie ",1
"224","Detective Conan Movie 06: The Phantom of Baker Street","Apr",2002,"Apr",2002,8.3,"Movie ",1
"225","Kono Subarashii Sekai ni Shukufuku wo! 2","Jan",2017,"Mar",2017,8.3,"TV ",10
"226","Boku no Hero Academia 2nd Season","Apr",2017,"Sep",2017,8.29,"TV ",25
"227","Gin no Saji 2nd Season","Jan",2014,"Mar",2014,8.29,"TV ",11
"228","Hibike! Euphonium 2","Oct",2016,"Dec",2016,8.29,"TV ",13
"229","Kawaki wo Ameku","Jan",2019,"Jan",2019,8.29,"Music ",1
"230","Koukaku Kidoutai","Nov",1995,"Nov",1995,8.29,"Movie ",1
"231","Quanzhi Gaoshou Specials","Apr",2018,"May",2018,8.29,"ONA ",3
"232","Redline","Aug",2009,"Aug",2009,8.29,"Movie ",1
"233","Tokyo Godfathers","Nov",2003,"Nov",2003,8.29,"Movie ",1
"234","Re:Zero kara Hajimeru Isekai Seikatsu","Apr",2016,"Sep",2016,8.28,"TV ",25
"235","Ashita no Joe","Apr",1970,"Sep",1971,8.28,"TV ",79
"236","Gyakkyou Burai Kaiji: Ultimate Survivor","Oct",2007,"Apr",2008,8.28,"TV ",26
"237","Hajime no Ippo: Champion Road","Apr",2003,"Apr",2003,8.28,"Special ",1
"238","Hunter x Hunter: Greed Island Final","Mar",2004,"Aug",2004,8.28,"OVA ",14
"239","Initial D First Stage","Apr",1998,"Dec",1998,8.28,"TV ",26
"240","Danshi Koukousei no Nichijou","Jan",2012,"Mar",2012,8.27,"TV ",12
"241","Gintama: Shinyaku Benizakura-hen","Dec",2010,"Dec",2010,8.27,"Special ",1
"242","Kuroko no Basket 2nd Season","Oct",2013,"Mar",2014,8.27,"TV ",25
